Drug Name,SMILES,logS,Number of Nodes,Number of Edges,Number of Edge Attributes,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,drugbank_id,Drug Type,chembl
CARBOCYSTEINE,C(C(C(=O)O)N)S,-6.232703233825746,7,6,2,1,121.16099999999999,3,0,2,63.31999999999999,DB00151,Drug,
CYSTEINE,C(C(C(=O)O)N)S,0.16197209079933472,7,6,2,1,121.16099999999999,3,0,2,63.31999999999999,DB00151,Drug,
ACETYLCYSTEINE,C(C(C(=O)O)N)S,1.3711228077111635,7,6,2,1,121.16099999999999,3,0,2,63.31999999999999,DB03201,Drug,
CARBOCYSTEINE,C(C(C(=O)O)N)S,-1.801905731686304,7,6,2,1,121.16099999999999,3,0,2,63.31999999999999,DB03201,Drug,
CYSTEINE,C(C(C(=O)O)N)S,1.000383066194372,7,6,2,1,121.16099999999999,3,0,2,63.31999999999999,DB03201,Drug,
VITAMIN D,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,1.7495589276221821,29,31,2,1,396.65900000000016,1,3,5,20.23,DB00153,Drug,
NAD,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,-6.279490177406818,44,48,3,1,665.4460000000001,8,5,11,317.62,DB00157,Drug,
EICOSAPENTAENOIC ACID,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,-0.4297733363916576,22,21,2,1,302.458,1,0,13,37.3,DB00159,Drug,
METHIONINE,CC(C(=O)O)N,1.2209505606835567,6,5,2,1,89.09400000000001,2,0,1,63.31999999999999,DB00160,Drug,
METHIONINE,CC(C(=O)O)N,-6.230658905821694,6,5,2,1,89.09400000000001,2,0,1,63.31999999999999,DB01786,Drug,
RETINOL ACETATE,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,-6.543408872203132,21,21,2,1,286.45900000000006,1,1,5,20.23,DB00162,Drug,
RETINOL PALMITATE,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,-5.828560834129281,21,21,2,1,286.45900000000006,1,1,5,20.23,DB00162,Drug,
VITAMIN A,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,-3.281928173552973,21,21,2,1,286.45900000000006,1,1,5,20.23,DB00162,Drug,
ZINEB,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,-0.5247865461794108,21,21,2,1,286.45900000000006,1,1,5,20.23,DB00162,Drug,
ALPHA-TOCOPHEROL,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,-1.7540164957344153,31,32,2,1,430.7170000000002,1,2,12,29.46,DB00163,Drug,
VITAMIN E,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,0.11230731308925002,31,32,2,1,430.7170000000002,1,2,12,29.46,DB00163,Drug,
THIOCTIC ACID,C1CSSC1CCCCC(=O)O,1.5806461770851001,12,12,2,1,206.33199999999994,1,1,5,37.3,DB00166,Drug,
ASPARTAME,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,0.4799935688826187,21,21,3,1,294.307,3,1,7,118.72,DB00168,Drug,
CHOLECALCIFEROL,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,-5.147345868931486,28,30,2,1,384.6480000000002,1,3,6,20.23,DB00169,Drug,
VITAMIN D,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,-6.893943095606539,28,30,2,1,384.6480000000002,1,3,6,20.23,DB00169,Drug,
VITAMIN K 3,CC1=CC(=O)C2=CC=CC=C2C1=O,-1.9975383176519488,13,14,3,1,172.18299999999996,0,2,0,34.14,DB00170,Drug,
2-AMINOPURINE,C1=NC2=NC=NC(=C2N1)N,1.669045247049862,10,11,2,1,135.12999999999997,2,2,0,80.48,DB00173,Drug,
ADENINE,C1=NC2=NC=NC(=C2N1)N,-3.2433035041797886,10,11,2,1,135.12999999999997,2,2,0,80.48,DB00173,Drug,
ADENOSINE,C1=NC2=NC=NC(=C2N1)N,0.4495443440100786,10,11,2,1,135.12999999999997,2,2,0,80.48,DB00173,Drug,
PRAVASTATIN,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,-3.5038175037964367,30,31,2,1,424.5340000000002,4,2,10,124.29000000000002,DB00175,Drug,
VALSARTAN,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,0.24437264146612403,32,34,3,1,435.5280000000002,2,3,10,112.07000000000001,DB00177,Drug,
RAMIPRIL,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,-6.874032442655145,30,32,3,1,416.5180000000003,2,3,9,95.94000000000001,DB00178,Drug,
MASOPROCOL,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,-4.377574543127654,22,23,2,1,302.36999999999995,4,2,5,80.92,DB00179,Drug,
TETRAHYDROCURCUMIN,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,-4.932880809114403,22,23,2,1,302.36999999999995,4,2,5,80.92,DB00179,Drug,
FLUNISOLIDE,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,-5.607634178680382,31,35,2,1,434.5040000000002,2,5,2,93.06,DB00180,Drug,
BACLOFEN,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,-2.9749901559128897,14,14,3,1,213.66399999999996,2,1,4,63.31999999999999,DB00181,Drug,
AMPHETAMINE,CC(CC1=CC=CC=C1)N,-3.7111696683278104,10,10,2,1,135.20999999999995,1,1,2,26.02,DB00182,Drug,
DEXTROAMPHETAMINE,CC(CC1=CC=CC=C1)N,-3.9341965839657407,10,10,2,1,135.20999999999995,1,1,2,26.02,DB00182,Drug,
NICOTINE,CN1CCCC1C2=CN=CC=C2,-5.220381436986145,12,13,2,1,162.23600000000002,0,2,1,16.130000000000003,DB00184,Drug,
BORTEZOMIB,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,-0.960433983187361,28,29,3,1,384.2450000000001,4,2,9,124.44000000000001,DB00188,Drug,
BORTEZOMIB,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,-5.22102895054393,28,29,3,1,384.2450000000001,4,2,9,124.44000000000001,DB07475,Drug,
TRAMADOL,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,-1.743614341180817,19,20,2,1,263.381,1,2,4,32.7,DB00193,Drug,
ADENOSINE,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,1.725732978029841,19,21,2,1,267.245,4,3,2,139.54000000000002,DB00194,Drug,
TROGLITAZONE,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,-5.477706285325193,31,34,3,1,441.54900000000015,2,4,5,84.86,DB00197,Drug,
OSELTAMIVIR,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,-6.5668903251936435,22,22,2,1,312.4100000000001,2,1,7,90.64999999999999,DB00198,Drug,
ERYTHROMYCIN,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,-2.271305167067462,51,53,2,1,733.9370000000002,5,3,7,193.91,DB00199,Drug,
CAFFEINE,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.5621168649629595,14,15,3,1,194.194,0,2,0,61.82,DB00201,Drug,
PYRIMETHAMINE,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,-4.413906052475378,17,18,2,1,248.717,2,2,2,77.82,DB00205,Drug,
RESERPINE,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,-3.744217555856587,44,49,3,1,608.6880000000003,1,6,8,117.78000000000002,DB00206,Drug,
AZITHROMYCIN,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,-1.410254299059499,52,54,2,1,748.9960000000002,5,3,7,180.07999999999998,DB00207,Drug,
ADAPALENE,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,-3.036818503105078,31,36,3,1,412.5290000000003,1,7,4,46.53,DB00210,Drug,
TORSEMIDE,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,-6.2361756783021,24,25,3,1,348.42800000000005,3,2,5,100.19,DB00214,Drug,
MOXIFLOXACIN,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,-0.7313658657251612,29,33,3,1,401.43800000000016,2,5,4,83.8,DB00218,Drug,
NELFINAVIR,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,-0.3638982192022686,40,43,3,1,567.7960000000004,4,4,9,101.9,DB00220,Drug,
NELFINAVIR,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,-5.975630755787929,40,43,3,1,567.7960000000004,4,4,9,101.9,DB05251,Drug,
DIFLORASONE,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F,-0.13261829426131744,29,32,2,1,410.4570000000001,3,4,2,94.83000000000001,DB00223,Drug,
INDINAVIR,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,-0.9449543970804894,45,49,3,1,613.803,4,5,11,118.03000000000002,DB00224,Drug,
LOVASTATIN,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,0.628800820491966,29,31,2,1,404.54700000000025,1,3,6,72.83000000000001,DB00227,Drug,
ENFLURANE,C(C(OC(F)F)(F)F)(F)Cl,-4.995842296666497,10,9,1,1,184.49099999999999,0,0,3,9.23,DB00228,Drug,
PREGABALIN,CC(C)CC(CC(=O)O)CN,-6.663890271854536,11,10,2,1,159.22899999999998,2,0,5,63.31999999999999,DB00230,Drug,
MESALAMINE,C1=CC(=C(C=C1N)O)C(=O)O,-2.74784868632835,11,11,3,1,153.137,3,1,1,83.55,DB00233,Drug,
REBOXETINE,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3,-1.0186989683206233,23,25,2,1,313.39699999999993,1,3,6,39.72,DB00234,Drug,
MILRINONE,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,-0.029520888683126856,16,17,4,1,211.22400000000002,1,2,1,69.53999999999999,DB00235,Drug,
NEVIRAPINE,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,-5.591451110972283,20,23,3,1,266.30400000000003,1,4,1,58.120000000000005,DB00238,Drug,
ALCLOMETASONE DIPROPIONATE,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl,-5.011635561020333,28,31,2,1,408.92200000000014,3,4,2,94.83000000000001,DB00240,Drug,
CLADRIBINE,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,-3.435748983793689,19,21,2,1,285.691,3,3,2,119.31,DB00242,Drug,
METOPROLOL,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,1.610819878164797,31,33,3,1,427.54500000000013,2,3,9,74.27000000000001,DB00243,Drug,
MESALAMINE,C1=CC(=C(C=C1N)C(=O)O)O,-0.7711334523704654,11,11,3,1,153.137,3,1,1,83.55000000000001,DB00244,Drug,
DAPSONE,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,-2.115811837575352,17,18,3,1,248.307,2,2,2,86.18,DB00250,Drug,
NALIDIXIC ACID,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1.8566564301288562,19,21,3,1,252.273,2,3,2,58.2,DB00252,Drug,
PHENYTOIN,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,-5.528930291052423,19,21,3,1,252.273,2,3,2,58.2,DB00252,Drug,
DOXYCYCLINE,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-2.0316590584337186,32,35,3,1,444.4400000000001,6,4,2,181.62000000000003,DB00254,Drug,
DIETHYLSTILBESTROL,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,-1.339114151590584,20,21,3,1,268.356,2,2,4,40.46,DB00255,Drug,
CLOTRIMAZOLE,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,-2.736945239645226,25,28,2,1,344.845,0,4,4,17.82,DB00257,Drug,
CARMUSTINE,C(CCl)NC(=O)N(CCCl)N=O,-0.9434956573966602,12,11,2,1,214.05199999999996,1,0,5,61.77,DB00262,Drug,
METOPROLOL,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,-6.588470609948445,19,19,2,1,267.36899999999997,2,1,9,50.72,DB00264,Drug,
DICUMAROL,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,-0.9760037844095715,25,28,3,1,336.29900000000004,2,4,2,100.88000000000001,DB00266,Drug,
ROPINIROLE,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,-3.4383667843089887,19,20,3,1,260.381,1,2,7,32.34,DB00268,Drug,
DIATRIZOATE,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,-0.7737510077881415,20,20,3,1,613.9150000000001,3,1,3,95.5,DB00271,Drug,
OLMESARTAN,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,-1.1829562801359401,33,36,3,1,446.5110000000002,3,4,8,129.81,DB00275,Drug,
OLMESARTAN MEDOXOMIL,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,-4.204176738500738,33,36,3,1,446.5110000000002,3,4,8,129.81,DB00275,Drug,
THEOPHYLLINE,CN1C2=C(C(=O)N(C1=O)C)NC=N2,-4.8154270859576975,13,14,3,1,180.167,1,2,0,72.68,DB00277,Drug,
ARGATROBAN,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,-5.344733551198696,35,37,3,1,508.6450000000002,5,3,9,180.20999999999998,DB00278,Drug,
TRIIODOTHYRONINE,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,1.4951932321136319,23,24,3,1,650.9760000000001,3,2,5,92.78,DB00279,Drug,
LIDOCAINE,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,-0.7351554936964098,17,17,3,1,234.343,1,1,5,32.34,DB00281,Drug,
LIDOCAINE,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,-3.631851456244235,17,17,3,1,234.343,1,1,5,32.34,DB05291,Drug,
PAMIDRONATE,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,-3.409606492173938,13,12,2,1,235.069,6,0,4,161.30999999999997,DB00282,Drug,
ACARBOSE,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,-2.771738529183539,44,47,2,1,645.6080000000004,14,4,9,321.17,DB00284,Drug,
ESTROGENS,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+],1.3327284873910124,25,27,3,0,372.41800000000006,0,4,2,83.5,DB00286,Drug,
ESTRONE SULFATE,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+],-4.4931742328702375,25,27,3,0,372.41800000000006,0,4,2,83.5,DB00286,Drug,
ATENOLOL,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,-6.532920227230155,19,20,2,1,255.361,1,2,6,21.259999999999998,DB00289,Drug,
BLEOMYCIN,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,-0.3979719088378655,96,101,3,1,1415.5760000000005,20,6,35,627.07,DB00290,Drug,
MORPHINE,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,-6.774483963634519,21,25,3,1,285.343,2,5,0,52.93000000000001,DB00295,Drug,
ROPIVACAINE,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,-2.208009965018582,20,21,3,1,274.408,1,2,4,32.34,DB00296,Drug,
TENOFOVIR,CC(CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,-0.84146628199424,19,20,3,1,287.21599999999995,3,2,5,136.38000000000002,DB00300,Drug,
FLOXACILLIN,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,-3.483316510375465,30,33,3,1,453.8790000000002,2,4,4,112.74,DB00301,Drug,
SESAMOL,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,-3.781357056441382,30,33,3,1,453.8790000000002,2,4,4,112.74,DB00301,Drug,
MITOMYCIN,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,-1.3152639730666937,24,27,2,1,334.33200000000005,3,4,3,146.89000000000001,DB00305,Drug,
MASOPROCOL,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,-0.6097231350914987,26,28,3,1,348.4860000000002,1,3,3,37.3,DB00307,Drug,
CLODRONIC ACID,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,1.1374472218132237,22,24,3,1,338.77200000000005,3,3,2,109.49000000000001,DB00310,Drug,
PENTOBARBITAL,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,-0.9300878683537057,16,16,2,1,226.27599999999998,2,1,4,75.27000000000001,DB00312,Drug,
VALPROIC ACID,CCCC(CCC)C(=O)O,-3.9727187744458505,10,9,2,1,144.214,1,0,5,37.3,DB00313,Drug,
ACETAMINOPHEN,CC(=O)NC1=CC=C(C=C1)O,1.2525192217241496,11,11,3,1,151.165,2,1,1,49.33,DB00316,Drug,
CROCIN,CC(=O)NC1=CC=C(C=C1)O,-6.096879695386274,11,11,3,1,151.165,2,1,1,49.33,DB00316,Drug,
GEFITINIB,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,-3.7866816491918733,31,34,2,1,446.91000000000037,1,4,8,68.74000000000001,DB00317,Drug,
CODEINE,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,-6.1310379906746855,22,26,3,1,299.37,1,5,1,41.93000000000001,DB00318,Drug,
PIPERACILLIN,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,-2.7959354488805053,36,39,3,1,517.5640000000003,3,4,6,156.42999999999998,DB00319,Drug,
AMITRIPTYLINE,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,-1.6222234645091271,21,23,3,1,277.411,0,3,3,3.24,DB00321,Drug,
INDOMETHACIN,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,-0.30497961501666015,25,27,3,1,357.7930000000002,1,3,4,68.53,DB00328,Drug,
ETHAMBUTOL,CCC(CO)NCCNC(CC)CO,1.150857915141005,14,13,1,1,204.314,4,0,9,64.52,DB00330,Drug,
METFORMIN,CN(C)C(=N)N=C(N)N,-2.8943004288082035,9,8,2,1,129.167,3,0,0,91.49,DB00331,Drug,
METHADONE,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,-2.437528726699914,23,24,3,1,309.45300000000003,0,2,7,20.310000000000002,DB00333,Drug,
